kind,id,name,latin,ta2,ta2_la,ta2_en,ta2_path,tna,tna_la,tna_en,tna_path,wd,ta98,wd_en,wd_tr,wd_tr_aliases,trwiki,trwiki_redirects,match,alt,note,decision
structures,arteries-mra-atlas,Cerebral arteries (MRA atlas iso-surface),,,,,,,,,,,,,,,,,,,no TA concept found,
structures,arteries-pontine,Pontine arteries,Arteriae pontis,4559,Rami pontis arteriae basilaris,Pontine branches of basilar artery,Arteria Basilaris < Arteria Vertebralis < Systema Cardiovasculare,552,Arteriae pontis,Pontine arteries,Arteria Basilaris < Arteriae Encephali < Pars Centralis,Q7228291,A12.2.08.021,pontine arteries,pontine arterler,,Pontin arterler,,ta2:latin-syn tna:latin wd:en,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,arteries-thalamoperforating,Thalamoperforating and thalamogeniculate arteries,,,,,,573,Arteria thalami perforans,Thalamoperforating artery,Pars Precommunicans < Arteriae Encephali < Pars Centralis,Q7709513,A12.2.07.090,thalamogeniculate artery,,,,,tna:en wd:en,"tna:577 ""Arteria thalamogeniculata"" (en)",ambiguous,
structures,artery-aca,Anterior cerebral artery,Arteria cerebri anterior,4502,Arteria anterior cerebri,Anterior cerebral artery,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,351,Arteria cerebri anterior,Anterior cerebral artery,Arteria carotis interna < Circulus Arteriosus Cerebri < Arteriae Encephali,Q498935,A12.2.07.022,anterior cerebral artery,anterior serebral arter,,Anterior serebral arter,,ta2:en tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-acom,Anterior communicating artery,Arteria communicans anterior,4517,Arteria communicans anterior,Anterior communicating artery,Circulus Arteriosus Cerebri < Carotis Interna < Systema Cardiovasculare,352,Arteria communicans anterior,Anterior communicating artery,Arteria cerebri anterior < Arteria carotis interna < Circulus Arteriosus Cerebri,Q598769,A12.2.07.029,anterior communicating artery,Anterior komünikan arter,,Anterior komünikan arter,Ön komünikan arter,ta2:latin tna:latin wd:latin,,,
structures,artery-adamkiewicz,Artery of Adamkiewicz,,4536,Arteria radicularis magna,Great radicular artery,Arteria medullaris < Arteriae radiculares < Ramus arteriosus spinalis,744,Arteria radicularis magna,Great radicular artery,Arteria radicularis anterior < Rami spinales < Arteriae Medullae Spinalis,Q2865993,,Artery of Adamkiewicz,Adamkiewics arteri,Arteria radicularis magna,Adamkiewics arteri,,ta2:latin-syn tna:latin-syn wd:en,,,
structures,artery-aica,Anterior inferior cerebellar artery,Arteria cerebelli inferior anterior,4550,Arteria inferior anterior cerebelli,Anterior inferior cerebellar artery,Arteria Basilaris < Arteria Vertebralis < Systema Cardiovasculare,547,Arteria cerebelli inferior anterior,Anterior inferior cerebellar artery,Arteria Basilaris < Arteriae Encephali < Pars Centralis,Q707277,A12.2.08.019,anterior inferior cerebellar artery,anterior inferior serebellar arter,AICA,Anterior inferior serebellar arter,,ta2:en tna:latin wd:en,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-anterior-choroidal,Anterior choroidal artery,Arteria choroidea anterior,4501,Arteria chorioidea anterior,Anterior choroidal artery,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,403,Arteria choroidea anterior,Anterior choroidal artery,Pars Communicans < Arteriae Encephali < Pars Centralis,Q518616,A12.2.06.019,anterior choroidal artery,anterior koroideal arter,,,,ta2:en tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-basilar,Basilar artery,Arteria basilaris,4548,Arteria basilaris,Basilar artery,Arteria Vertebralis < Systema Cardiovasculare < Systemata Integrantia,354,Arteria basilaris,Basilar artery,Circulus Arteriosus Cerebri < Arteriae Encephali < Pars Centralis,Q500339,A12.2.07.081,basilar artery,Baziler arter,arteria bazilaris,Baziler arter,,ta2:latin tna:latin wd:latin,,,
structures,artery-internal-carotid,Internal carotid artery,Arteria carotis interna,4463,Carotis interna,Internal carotid artery,Systema Cardiovasculare < Systemata Integrantia,350,Arteria carotis interna,Internal carotid artery,Circulus Arteriosus Cerebri < Arteriae Encephali < Pars Centralis,Q515848,A12.2.06.001,internal carotid artery,internal karotid arter,ICA,İnternal karotid arter,,ta2:en tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-labyrinthine,Labyrinthine (internal auditory) artery,,4551,Arteria labyrinthi,Labyrinthine artery,Arteria inferior anterior cerebelli < Arteria Basilaris < Arteria Vertebralis,548,Arteria labyrinthi,Labyrinthine artery,Arteria cerebelli inferior anterior < Arteria Basilaris < Arteriae Encephali,Q656328,A12.2.08.020,labyrinthine artery,labirintin arter,,,,ta2:en tna:en wd:en,,,
structures,artery-mca-inferior-division,"Middle cerebral artery, inferior division",,4509,Arteria media cerebri,Middle cerebral artery,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,481,Arteria cerebri media,Middle cerebral artery,Arteriae Encephali < Pars Centralis < Systema Nervosum,Q498179,A12.2.07.046,middle cerebral artery,Orta serebral arter,,Orta serebral arter,,ta2:en tna:en wd:en,,TA2/TNA Latin differ,
structures,artery-mca-superior-division,"Middle cerebral artery, superior division",,4509,Arteria media cerebri,Middle cerebral artery,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,481,Arteria cerebri media,Middle cerebral artery,Arteriae Encephali < Pars Centralis < Systema Nervosum,Q498179,A12.2.07.046,middle cerebral artery,Orta serebral arter,,Orta serebral arter,,ta2:en tna:en wd:en,,TA2/TNA Latin differ,
structures,artery-mca,Middle cerebral artery,Arteria cerebri media,4509,Arteria media cerebri,Middle cerebral artery,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,481,Arteria cerebri media,Middle cerebral artery,Arteriae Encephali < Pars Centralis < Systema Nervosum,Q498179,A12.2.07.046,middle cerebral artery,Orta serebral arter,,Orta serebral arter,,ta2:en tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-ophthalmic,Ophthalmic artery,Arteria ophthalmica,4469,Arteria ophthalmica,Ophthalmic artery,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,396,Arteria ophthalmica,Ophthalmic artery,Pars Ophthalmica < Arteriae Encephali < Pars Centralis,Q497574,A12.2.06.016,ophthalmic artery,,,,,ta2:latin tna:latin wd:latin,,,
structures,artery-pca,Posterior cerebral artery,Arteria cerebri posterior,4565,Arteria posterior cerebri,Posterior cerebral artery,Arteria Vertebralis < Systema Cardiovasculare < Systemata Integrantia,355,Arteria cerebri posterior,Posterior cerebral artery,Arteria basilaris < Circulus Arteriosus Cerebri < Arteriae Encephali,Q492482,A12.2.07.082,posterior cerebral artery,Posterior serebral arter,PCA,Posterior serebral arter,,ta2:en tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-pcom,Posterior communicating artery,Arteria communicans posterior,4521,Arteria communicans posterior,Posterior communicating artery,Circulus Arteriosus Cerebri < Carotis Interna < Systema Cardiovasculare,353,Arteria communicans posterior,Posterior communicating artery,Arteria carotis interna < Circulus Arteriosus Cerebri < Arteriae Encephali,Q185438,A12.2.06.018,posterior communicating artery,posterior komünikan arter,PcomA,Posterior komünikan arter,,ta2:latin tna:latin wd:en,,,
structures,artery-pica,Posterior inferior cerebellar artery,Arteria cerebelli inferior posterior,4542,Arteria inferior posterior cerebelli,Posterior inferior cerebellar artery,Arteria Vertebralis < Systema Cardiovasculare < Systemata Integrantia,533,Arteria cerebelli inferior posterior,Posterior inferior cerebellar artery,Pars Intracranialis < Arteriae Encephali < Pars Centralis,Q488727,A12.2.08.012,posterior inferior cerebellar artery,Posterior inferior serebellar arter,PICA,Posterior inferior serebellar arter,Posterior inferior cerebellar artery,ta2:en tna:latin wd:en,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-sca,Superior cerebellar artery,Arteria cerebelli superior,4563,Arteria superior cerebelli,Superior cerebellar artery,Arteria Basilaris < Arteria Vertebralis < Systema Cardiovasculare,564,Arteria cerebelli superior,Superior cerebellar artery,Arteria Basilaris < Arteriae Encephali < Pars Centralis,Q707592,A12.2.08.025,superior cerebellar artery,superior serebellar arter,SCA,Superior serebellar arter,,ta2:en tna:latin wd:latin,,TA2/TNA Latin differ; our Latin differs from TA2,
structures,artery-vertebral,Vertebral artery,Arteria vertebralis,4538,Arteria vertebralis,Vertebral artery,Systema Cardiovasculare < Systemata Integrantia,520,Arteria vertebralis,Vertebral artery,Arteriae Encephali < Pars Centralis < Systema Nervosum,Q516546,A12.2.08.002,vertebral artery,Vertebral arter,a. vertebralis,Vertebral arter,,ta2:latin tna:latin wd:latin,,,
structures,autonomic-cranial-parasympathetic,Cranial parasympathetic outflow,"Pars parasympathica: nervi craniales III, VII, IX, X",,,,,,,,,,,,,,,,,,no TA concept found,
structures,autonomic-sacral-parasympathetic,Sacral parasympathetic outflow and bladder control,Nervi splanchnici pelvici (S2–S4),6685,Nervi splanchnici pelvici,Pelvic splanchnic nerves,Pars Sacralis Divisionis Autonomicae < Pars Craniosacralis Divisionis Autonomicae < Systema Nervosum,3513,Nervi splanchnici pelvici,Pelvic splanchnic nerves,Pars Sacralis < Pars Craniosacralis < Pars Peripherica,,,,,,,,ta2:latin tna:latin,,our Latin differs from TA2,
structures,basal-forebrain-cholinergic,Basal forebrain cholinergic nuclei,,5544,Substantia perforata anterior,Anterior perforated substance,Pars Basalis Telencephali < Cerebrum < Systema Nervosum,2116,Substantia perforata anterior,Anterior perforated substance,Lobus Frontalis < Telencephalon < Pars Centralis,Q626274,A14.1.09.426,substantia innominata,,,,,ta2:syn tna:syn wd:latin-syn,"tna:2544 ""Substantia innominata"" (latin-syn) | tna:2548 ""Nucleus septalis medialis"" (syn) | wd:Q4771386 ""anterior perforated substance"" (syn) | wd:Q7086516 ""olfactory tubercle"" (syn) | wd:Q17027490 ""medial septal nucleus"" (syn)",,
structures,bed-nucleus-stria-terminalis,Bed nucleus of the stria terminalis,,5555,Nucleus striae terminalis,Bed nucleus of stria terminalis,Pars Basalis Telencephali < Cerebrum < Systema Nervosum,2516,Nucleus striae terminalis,Bed nucleus of stria terminalis,Amygdala Extenta < Telencephalon < Pars Centralis,,,,,,,,ta2:fuzzy tna:fuzzy,,fuzzy,
structures,bp3d-brain,Brain (BodyParts3D),,5415,Encephalon,Brain,Leptomeninges < Systema Nervosum < Systemata Integrantia,958,Encephalon,Brain,Structurae Centrales Medullae Spinalis < Pars Centralis < Systema Nervosum,Q1073,A14.1.03.001,brain,beyin,dimağ; ensefal,Beyin,Ansefal; Beyin anatomisi; Organik işlemci,ta2:en tna:en wd:en,"wd:Q75865 ""encephalon"" (en)",ambiguous,
structures,brain-envelope,Brain surface (template mask),,,,,,,,,,,,,,,,,,,no TA concept found,
structures,brainstem,Brainstem,,5856,Truncus encephali,Brainstem,Systema Nervosum < Systemata Integrantia,959,Truncus encephali,Brain stem,Pars Centralis < Systema Nervosum,Q182228,A14.1.03.009,brain stem,beyinsapı,Beyin sapı,Beyinsapı,Beyin sapı,ta2:en tna:latin-syn wd:latin-syn,,,
structures,cauda-equina,Cauda equina,Cauda equina,6163,Cauda equina,Cauda equina,Radices Nervorum < Systema Nervosum < Systemata Integrantia,2949,Cauda equina,Cauda equina,Radices Nervorum Spinalium < Nomina Generalia < Pars Peripherica,Q1051445,A14.2.00.036,cauda equina,,,,,ta2:latin tna:latin wd:latin,,,
structures,caudate-nucleus,Caudate nucleus,Nucleus caudatus,5561,Nucleus caudatus,Caudate nucleus,Striatum dorsale < Corpus Striatum < Cerebrum,2560,Nucleus caudatus,Caudate nucleus,Telencephalon < Pars Centralis < Systema Nervosum,Q1132309,A14.1.09.502,caudate nucleus,,,,,ta2:latin tna:latin wd:latin,,,
structures,cerebellar-cortex-layers,Cerebellar cortex: layers and circuit,,5834,Cortex cerebelli,Cerebellar cortex,Substantia Grisea Cerebelli < Cerebellum < Systema Nervosum,1621,Cortex cerebelli,Cerebellar cortex,Cerebellum < Pars Centralis < Systema Nervosum,Q29551886,A05.1.04.017,foliate papilla,,,,,ta2:syn tna:syn wd:syn,"ta2:2841 ""Papillae foliatae"" (syn)",Wikidata TA2 id 2841 is not 5834; ambiguous,
structures,cerebellar-hemisphere,Cerebellar hemispheres (lateral zone),Hemispherium cerebelli,5804,Hemisphaerium cerebelli,Hemisphere of cerebellum,Cerebellum < Systema Nervosum < Systemata Integrantia,1558,Hemispherium cerebelli,Cerebellar hemisphere,Cerebellum < Pars Centralis < Systema Nervosum,Q5064075,A14.1.07.004,cerebellar hemisphere,,,,,ta2:latin tna:latin wd:fuzzy,,fuzzy,
structures,cerebellar-lobule-crus-i,Crus I,,5813,Lobulus semilunaris superior,Superior semilunar lobule,Lobuli semilunares < Hemisphaerium Cerebelli < Cerebellum,1607,Lobulus semilunaris superior,Superior semilunar lobule,Lobuli semilunares < Pars Posterior Hemispherii Cerebelli < Cerebellum,,,,,,,,ta2:syn tna:syn,,,
structures,cerebellar-lobule-crus-ii,Crus II,,5814,Lobulus semilunaris inferior,Inferior semilunar lobule,Lobuli semilunares < Hemisphaerium Cerebelli < Cerebellum,1608,Lobulus semilunaris inferior,Inferior semilunar lobule,Lobuli semilunares < Pars Posterior Hemispherii Cerebelli < Cerebellum,,,,,,,,ta2:syn tna:syn,,,
structures,cerebellar-lobule-i-iv,Lobules I–IV,,,,,,,,,,,,,,,,,,,no TA concept found,
structures,cerebellar-lobule-ix,Lobule IX,,5817,Tonsilla cerebelli,Tonsil of cerebellum,Hemisphaerium Cerebelli < Cerebellum < Systema Nervosum,1613,Tonsilla cerebelli,Tonsil of cerebellum,Pars Posterior Hemispherii Cerebelli < Cerebellum < Pars Centralis,Q5064080,A14.1.07.222,cerebellar tonsil,Serebellar tonsil,,Serebellar tonsil,,ta2:fuzzy tna:fuzzy wd:fuzzy,"tna:1596 ""Uvula"" (syn)",fuzzy,
structures,cerebellar-lobule-v,Lobule V,,5808,Lobulus quadrangularis anterior,Anterior quadrangular lobule,Hemisphaerium Cerebelli < Cerebellum < Systema Nervosum,1585,Lobulus quadrangularis anterior,Anterior quadrangular lobule,Pars Anterior Hemispherii Cerebelli < Cerebellum < Pars Centralis,,,,,,,,ta2:syn tna:syn,"tna:1575 ""Lobulus V"" (en)",,
structures,cerebellar-lobule-vi,Lobule VI,,5811,Lobulus quadrangularis posterior,Posterior quadrangular lobule,Hemisphaerium Cerebelli < Cerebellum < Systema Nervosum,1590,Declive,Declive,Pars Posterior Vermis < Cerebellum < Pars Centralis,,,,,,,,ta2:syn tna:syn,"ta2:5827 ""Declive"" (syn) | tna:1605 ""Lobulus quadrangularis posterior"" (syn)",TA2/TNA Latin differ; ambiguous,
structures,cerebellar-lobule-viib,Lobule VIIB,,5815,Lobulus gracilis,Gracile lobule,Hemisphaerium Cerebelli < Cerebellum < Systema Nervosum,1609,Lobulus gracilis,Gracile lobule,Pars Posterior Hemispherii Cerebelli < Cerebellum < Pars Centralis,Q66570070,A14.1.07.213,gracile lobule,,,,,ta2:syn tna:syn wd:syn,"tna:1592 ""Tuber"" (syn)",ambiguous,
structures,cerebellar-lobule-viiia,Lobule VIIIA,,5830,Pyramis vermis,Pyramis of vermis,Vermis Cerebelli < Cerebellum < Systema Nervosum,1594,Lobulus VIIIA,Lobule VIIIA,Pyramis < Pars Posterior Vermis < Cerebellum,,,,,,,,ta2:latin-syn tna:en,,TA2/TNA Latin differ,
structures,cerebellar-lobule-viiib,Lobule VIIIB,,,,,,1595,Lobulus VIIIB,Lobule VIIIB,Pyramis < Pars Posterior Vermis < Cerebellum,,,,,,,,tna:en,,,
structures,cerebellar-lobule-x,Lobule X (flocculonodular),,5799,Lobus flocculonodularis,Flocculonodular lobe,Cerebellum < Systema Nervosum < Systemata Integrantia,1615,Lobus flocculonodularis,Flocculonodular lobe,Cerebellum < Pars Centralis < Systema Nervosum,Q5459948,A14.1.07.301,flocculonodular lobe,,,,,ta2:syn tna:syn wd:syn,"ta2:5803 ""Vestibulocerebellum"" (syn) | tna:1650 ""Vestibulocerebellum"" (syn) | tna:1616 ""Nodulus"" (syn)",ambiguous,
structures,cerebellar-tonsil,Cerebellar tonsil,Tonsilla cerebelli,5817,Tonsilla cerebelli,Tonsil of cerebellum,Hemisphaerium Cerebelli < Cerebellum < Systema Nervosum,1613,Tonsilla cerebelli,Tonsil of cerebellum,Pars Posterior Hemispherii Cerebelli < Cerebellum < Pars Centralis,Q5064080,A14.1.07.222,cerebellar tonsil,Serebellar tonsil,,Serebellar tonsil,,ta2:latin tna:latin wd:en,,,
structures,cerebellar-vermis,Vermis,Vermis cerebelli,5819,Vermis cerebelli,Vermis of cerebellum,Cerebellum < Systema Nervosum < Systemata Integrantia,1557,Vermis cerebelli,Vermis of cerebellum,Cerebellum < Pars Centralis < Systema Nervosum,Q3078809,A14.1.07.006,cerebellar vermis,,,,,ta2:latin tna:latin wd:latin,,,
structures,cerebellar-white-matter,Cerebellar white matter,,5789,Arbor vitae,Arbor vitae,Cerebellum < Systema Nervosum < Systemata Integrantia,1680,Arbor vitae,Arbor vitae,Substantia Alba < Cerebellum < Pars Centralis,Q4784776,A14.1.07.401,Arbor vitae,,,,,ta2:syn tna:syn wd:syn,,,
structures,cerebellum,Cerebellum,Cerebellum,5788,Cerebellum,Cerebellum,Systema Nervosum < Systemata Integrantia,1555,Cerebellum,Cerebellum,Pars Centralis < Systema Nervosum,Q130983,A14.1.07.001,cerebellum,beyincik,,Beyincik,Cerebellum; Serebellar; Serebellum,ta2:latin tna:latin wd:latin,"wd:Q4752310 ""Anatomy of the cerebellum"" (latin)",ambiguous,
structures,cerebral-aqueduct,Cerebral aqueduct,Aqueductus cerebri,5910,Aquaeductus mesencephali,Aqueduct of midbrain,Structurae Centrales Mesencephali < Truncus Encephali < Systema Nervosum,1494,Aqueductus mesencephali,Mesencephalic aqueduct,Mesencephalon < Pars Centralis < Systema Nervosum,Q623016,A14.1.06.501,cerebral aqueduct,,,,,ta2:latin-syn tna:latin-syn wd:latin,,our Latin differs from TA2,
structures,cerebral-peduncle-crus,Crus cerebri (cerebral peduncle),Crus cerebri,5878,Pedunculus cerebri,Cerebral peduncle,Truncus Encephali < Systema Nervosum < Systemata Integrantia,1372,Pedunculus cerebri,Cerebral peduncle,Mesencephalon < Pars Centralis < Systema Nervosum,Q12738044,"A14.1.06.005, A14.1.09.259",cerebral crus,serebral crus,,,,ta2:syn tna:latin-syn wd:latin,"ta2:5880 ""Crus cerebri"" (latin) | wd:Q646944 ""cerebral peduncle"" (syn)",our Latin differs from TA2; Wikidata TA2 id 5880 is not 5878,
structures,cerebral-white-matter,Cerebral white matter,,,,,,,,,,,,,,,,,,,no TA concept found,
structures,cervical-enlargement,Cervical and lumbosacral enlargements,Intumescentia cervicalis et lumbosacralis,6051,Intumescentia lumbosacralis,Lumbosacral enlargement,Medulla Spinalis < Truncus Encephali < Systema Nervosum,768,Intumescentia lumbosacralis,Lumbosacral enlargement,Medulla Spinalis < Vasa Sanginea Medullae Spinalis < Pars Centralis,Q5065333,A14.1.02.002,Cervical enlargement,,,,,ta2:fuzzy tna:fuzzy wd:fuzzy,"ta2:6050 ""Intumescentia cervicalis"" (fuzzy) | tna:767 ""Intumescentia cervicalis"" (fuzzy) | wd:Q16979549 ""Lumbar enlargement"" (fuzzy)",our Latin differs from TA2; Wikidata TA2 id 6050 is not 6051; fuzzy; ambiguous,
structures,cervical-sympathetic-chain,Cervical sympathetic chain and stellate ganglion,Ganglia cervicalia; ganglion cervicothoracicum,6612,Ganglion cervicothoracicum,Cervicothoracic ganglion,Ganglia cervicalia < Ganglia trunci sympathici < Ganglia paravertebralia,3427,Ganglia cervicalia,Cervical ganglia,Ganglia trunci sympathici < Ganglia paravertebralia < Truncus Sympathicus,Q1493503,A14.3.01.020,stellate ganglion,Stellate ganglion,,Stellate ganglion,,ta2:latin tna:latin wd:latin,"ta2:6607 ""Ganglia cervicalia"" (latin) | tna:3437 ""Ganglion cervicothoracicum"" (latin)",TA2/TNA Latin differ; our Latin differs from TA2; ambiguous,
structures,choroid-plexus,Choroid plexus and CSF production,Plexus choroideus,5654,Plexus chorioideus ventriculi lateralis,Choroid plexus of lateral ventricle,Parietes Ventriculi Lateralis < Cerebrum < Systema Nervosum,326,Plexus choroideus,Choroid plexus,Pia Mater Cranialis < Leptomeninx < Pars Centralis,Q926250,"A14.1.09.279, A14.1.01.307, A14.1.01.306, A14.1.01.304, A14.1.05.715",choroid plexus,Koroid pleksus,,Koroid sinir ağı,Koroid pleksus,ta2:en tna:latin wd:en,"ta2:5786 ""Plexus chorioideus ventriculi tertii"" (en) | ta2:5980 ""Plexus chorioideus ventriculi quarti"" (en) | ta2:5409 ""Plexus chorioideus"" (en)",TA2/TNA Latin differ; our Latin differs from TA2; ambiguous,
structures,circle-of-willis,Circle of Willis,Circulus arteriosus cerebri,4516,Circulus arteriosus cerebri,Cerebral arterial circle,Carotis Interna < Systema Cardiovasculare < Systemata Integrantia,349,Circulus arteriosus cerebri,Cerebral arterial circle,Arteriae Encephali < Pars Centralis < Systema Nervosum,Q487595,A12.2.07.080,circle of Willis,Willis poligonu,Willis halkası,Willis poligonu,Beyin atardamarları; Beyin atardamarı; Circulus arteriosus cerebri; Willis çemberi,ta2:latin tna:latin wd:latin,,,
structures,claustrum,Claustrum,Claustrum,5535,Claustrum,Claustrum,Pallium < Cerebrum < Systema Nervosum,2276,Claustrum,Claustrum,Telencephalon < Pars Centralis < Systema Nervosum,Q429036,A14.1.09.421,Claustrum,,,,,ta2:latin tna:latin wd:latin,,,
structures,cochlear-nuclei,Cochlear nuclei,Nuclei cochleares,6006,Nucleus cochlearis anterior,Anterior cochlear nucleus,Substantia Grisea Medullae Oblongatae < Truncus Encephali < Systema Nervosum,1036,Nucleus cochlearis anterior,Anterior cochlear nucleus,Nuclei Acustici < Myelencephalon < Pars Centralis,Q387776,"A14.1.04.247, A14.1.05.430",cochlear nuclei,,,,,ta2:latin tna:via-ta2 wd:latin,"ta2:6007 ""Nucleus cochlearis posterior"" (latin)",our Latin differs from TA2; ambiguous,
structures,conus-medullaris,Conus medullaris,Conus medullaris,6052,Conus medullaris,Conus medullaris,Medulla Spinalis < Truncus Encephali < Systema Nervosum,769,Conus medullaris,Conus medullaris,Medulla Spinalis < Vasa Sanginea Medullae Spinalis < Pars Centralis,Q1569338,A14.1.02.004,conus medullaris,,,,,ta2:latin tna:latin wd:latin,,,
structures,corona-radiata,Corona radiata,Corona radiata,5575,Corona radiata,Corona radiata,Substantia Alba Telencephali < Cerebrum < Systema Nervosum,2422,Corona radiata,Corona radiata,Substantia Alba Hemispherii Cerebri < Telencephalon < Pars Centralis,Q1134528,A14.1.09.550,corona radiata,,,,,ta2:latin tna:latin wd:latin,,,
structures,corpus-callosum,Corpus callosum,Corpus callosum,5604,Corpus callosum,Corpus callosum,Fibrae commissurales telencephali < Substantia Alba Telencephali < Cerebrum,2190,Corpus callosum,Corpus callosum,Telencephalon < Pars Centralis < Systema Nervosum,Q223851,A14.1.09.241,corpus callosum,Corpus callosum,Korpus callosum; Korpus kallozum,Corpus callosum,Korpus callosum; Korpus kallosum; Korpus kallozum,ta2:latin tna:latin wd:latin,,,
structures,cortex-calcarine,Calcarine (primary visual) cortex,Area striata,,,,,2053,Area striata,Striate area,Lobus Occipitalis < Telencephalon < Pars Centralis,,,,,,,,tna:latin,"tna:2247 ""Cortex visualis primarius"" (latin-syn)",,
structures,cortex-central-operculum,Central opercular cortex,,,,,,,,,,,,,,,,,,,no TA concept found,
structures,cortex-frontal-medial,Frontal medial cortex,,,,,,2095,Cortex prefrontalis medialis,Medial prefrontal cortex,Cortex prefrontalis < Lobus Frontalis < Telencephalon,,,,,,,,tna:syn,,,
